Обозначение	D-d	Ход	Установочный размер	Технические особенности	Область применения	Подвод	Монтажно-конструктивные особенности	Применяемость
КГЦ628-01.125-100-665	125-100	665	990		Спецтехника	"М18?1.5; М33?2"	"Сфера R50; D=144"	гидроцилиндр опор автокранов КС-5516А, КС-5516Б, КС-55116
КГЦ630.100-50-400	100-50	400	730		Спецтехника	2 отв. М27?2	Проуш. S=50 мм с ШС50	Рулевой лесная техника
КГЦ630Б.100-50-400	100-50	400	730		Спецтехника	2 отв. М27?2	Проуш. S=50 мм с ШС50	"Рулевой гидроцилиндр на лесную технику ""АМКОДОР"""
КГЦ632-02.80-56-400	80-56	400	765		Спецтехника	2 отв. М22?1.5	Проуш. S=40 с ШС40	Рулевой А-332, А-342, А-352
КГЦ632-06.80-56-900	80-56	900	1250		Спецтехника	2 отв. М22?1.5	Проуш. S=40 с ШС40	"Гидроцилиндр для техники ОАО ""Амкодор"""
КГЦ633.4-120-4430	120-100-80-56	4430	1487	Телескопический	МАЗ-КаМАЗ	1 отв. КГ 3/4	 Проуш. с ШС50 S=58 	"Гидроцилиндр подъем кузова автомобиля ""КАМАЗ"""
КГЦ634.140-80-800	140-80	800	1320		Спецтехника	Колодки фланцевого зажима	Вилка с отв. D=70, проуш. с ШС70 S=68 	Стрелы (левый) А-352, А-352С, А-352Л
КГЦ634-01.140-80-800	140-80	800	1320		Спецтехника	Колодки фланцевого зажима	Вилка с отв. D=70, проуш. с ШС70 S=68 	Стрелы (правый) А-352, А-352С, А-352Л
КГЦ635.180-80-500	180-80	500	1030		Спецтехника	Колодки фланцевого зажима	Проуш. с ШС80 S=100	Ковша А-352, А-352С
КГЦ635-01.180-80-440	180-80	440	1310		Спецтехника	Колодки фланцевого зажима	Проуш. с ШС80 S=100	Ковша А-352Л
КГЦ635А.180-80-500	180-80	500	1030		АМКОДОР	Колодки фланцевого зажима	Проуш. с ШС80 S=100	Ковша А-352, А-352С
КГЦ635А-01.180-80-440	180-80	440	1310		АМКОДОР	Колодки фланцевого зажима	Проуш. с ШС80 S=100	Ковша А-352Л
КГЦ643.110-80-1000	110-80	1000	1457		Коммунальная	2 отв. К3/8?	Сфера D=60	Гидроцилиндр плиты пресса мусоровозов типа  КО
КГЦ644.90-45-510	90-45	510	850		Коммунальная	2 отв. G3/4?	Проуш. S=30 с ЕШС35	
КГЦ645.110-50-460	110-50	460	770		Спецтехника	2 отв. М18?1.5	Проуш. S=50 с ШС50	Рулевого управления трактора К-7430
КГЦ646.68-45-194	68-45	194	728	Двухсторонний	Сельхозтехника	2 отв. М14?1.5	2 отв. в штоке D=12	цилиндр рулевого управления трактора
КГЦ647.57-32-237	57-32	237	610	Двухсторонний	Сельхозтехника	2 отв. М14?1.5	Резьбовые опоры М14х2, 4 отв.	цилиндр рулевого управления трактора
КГЦ648.80-40-200	80-40	200	515		Гомсельмаш	G1/2?, G1/4?	Вилки с D=25 и  пазом S=28 мм 	Гидроцилиндр хлопкоуборочной машины
КГЦ649.80-40-790	80-40	790	1193		Спецтехника	2 штуц. М18?1.5	Проуш. S=40 с ШС40	Оутригер 732
КГЦ652.50-32-160	50-32	160	410		Спецтехника	2 oтв. G3/8?	Проуш. S=27 и  S28 с ШС25	гидроцилиндр для различных видов сельскохозяйственой дорожной и другой техники
КГЦ652-01.50-32-250	50-32	250	500		Спецтехника	2 oтв. G3/8?	Проуш. S=27 и  S28 с ШС25	гидроцилиндр для различных видов сельскохозяйственой дорожной и другой техники
КГЦ666.40-20-250	40-20	250	440		Гомсельмаш	2 oтв. G1/2?	Проуш. S=20 с GE 20 ES 2RS	Гидроцилиндр рулевого управления хлопкоуборочной машины
КГЦ677.80-40-200	80-40	200	515		Гомсельмаш	2 oтв. G1/2?	Вилки с D=25 и  пазом S=28 мм 	Гидроцилиндр хлопкоуборочной машины
КГЦ678.80-70-200	80-70	200	685	Плунжерный	Гомсельмаш	"1 отв. М20?1.5; 1 отв. 3/8?"	Проуш. S=30 с ШС30	Гидроцилиндр агрегата КНС-6028
КГЦ679.110-70-930	110-70	930	1320		Спецтехника	2 отв. G3/4?	Проуш. S=65 с ШС60	Рукоять со стрелой 732
КГЦ681.60-32-120	60-32	120	315		Спецтехника	2 штуцера М20?1.5	Проуш. S=28 с ШС25	Гидроцилиндр поворота боковых секций отвала снегоуборочного 108-4607010
КГЦ681-01.60-32-85	60-32	85	330		Спецтехника	2 штуцера М20?1.5	Проуш. S=28 с ШС25	Гидроцилиндр отвала снегоуборочного 108-4607010 в вертикальном направлении
КГЦ681-02.60-32-290	60-32	290	740		Спецтехника	2 штуцера М20?1.5	Проуш. S=28 с ШС25	Гидроцилиндр наклона отвала снегоуборочного 108-4607010 
КГЦ682.63-36-190	63-36	190	475		Спецтехника	2 отв. G3/8?	"2 отв. Tr30х3; Tr30х3-LH"	"Гидроцилиндр снегоуплотнителя для ратраков производства ОАО ""МТЗ"""
КГЦ684.80-40-40-58	80-40	2х58	525		МТЗ	4 отв. G3/8?	Проуш. S=35 с ШС35	"Гидроцилиндр поворота навесного оборудования МСУ-108 (ратрак) производства ОАО ""МТЗ"""
КГЦ685.90-45-250	90-45	250	800		Сельхозтехника	2 отв. G1/2?	см. чертеж	Рулевого управления кормоуборочного комбайна 8060
КГЦ686.50-25-175	50-25	175	385		Сельхозтехника	G3/8?, М10?1	Проуш. S=28 с ШС25	Гидроцилиндр навески минитракторов венгерского производства
КГЦ687.63-36-350	63-36	350	647		Спецтехника	2 oтв. G3/8?	Проуш. S=28 с ШС30	
КГЦ688.80-30-200	80-30	200	420		Спецтехника	2 oтв. G3/8?	Проуш. S=28 с ШС30	
КГЦ689.80-60-245	80-60	245	575	С датчиком	МТЗ	2 отв. G3/8?	Проуш. S=35 с ШС35	Гидроцилиндр подъёма-опускания ЗНУ МСУ-108 4600 320 (ратрак)
КГЦ690.30-20-160	30-20	160	395		Гомсельмаш	2 штуцера М14?1.5	Проуш. S=28 с ШС25	Гидроцилиндр включения леникса комбайна КЗС-1624-1
КГЦ691.20-16-160	20-16	165	350		Гомсельмаш	2 штуцера М14?1.5	Проуш. S=20 с ШС20	Гидроцилиндр комбайна КЗС-1642
КГЦ693.63-40-300	63-40	300	635		Спецтехника	2 oтв. G1/2?	Проуш. S=45 с ШС40	Блокировка полурам (правый) А-2561
КГЦ696.125-63-340	125-63	340	740		Амкодор	Колодки фланцевого зажима	Проуш. S=50 мм с отв. D=60 мм	"Гидроцилиндр рыхлителя DC200 бульдозера ""АМКОДОР 861"""
КГЦ697.140-70-109	140-70	109	917		Амкодор	2 отв. М27?2	см. чертеж	"Гидроцилиндр наклона для бульдозера ""АМКОДОР-861""."
КГЦ699.125-56-700	125-56	700	1100		Погрузчики	2 отв. М27?2	Проуш. S=40 мм с ШС 50	А-703М
КГЦ700.125-63-700	125-63	700	1100		Погрузчики	2 отв. М27?2	Проуш. S=40 мм с ШС 50	А-703М
КГЦ708-01.90-45-450	90-45	450	800		Спецтехника	2 отв. G3/4?	Проуш. S=30 с ЕШС35	
КГЦ709.32-20-180	32-20	180	405		Сельхозтехника	2 штуц. М16?1.5	Проуш. S=14 с D=15	"Гидроцилиндр мотовила жатки комбайна ""Енисей"""
КГЦ710.63-36-275	63-36	275	500		Спецтехника	2 oтв. G1/2?	Проуш. S=26 с ЕШС35	"Гидроцилиндр рулевого управления   ""Амкодор 2311"""
КГЦ714.160-70-120	160-70	120	510		Сельхозтехника	2 отв. М18?1.5	Проуш. S=48 и S=56 мм с ШСЛ60	гидроцилиндр перекоса отвала
КГЦ715.80-50-200	80-50	200	445		Сельхозтехника	2 отв. М18?1.5	Проуш. S=28 и S=30 мм с ШС30	Гидроцилиндр передней навески
КГЦ716.160-70-800	160-70	800	1120		Сельхозтехника	2 отв. G3/4?	Проуш. S=48 c ШСЛ60 и цапфы D=45 мм	гидроцилиндр подъёма отвала
КГЦ716-01.160-70-800	160-70	800	1150		Сельхозтехника	2 отв. М26?1.5	Проуш. S=60 c ШСЛ60 и цапфы D=45 мм	гидроцилиндр подъёма отвала
КГЦ717.160-70-800	160-70	800	1205		Сельхозтехника	2 отв. М18?1.5	Проуш. S=48 и S=56 мм с ШСЛ60	гидроцилиндр поворота грейдера
КГЦ718.140-100-1530	140-100	1530	2200		Спецтехника	Колодки фланцевого зажима	Проуш. S=90 с ШСЛ90	гидроцилиндр экскаватора АМКОДОР 923
КГЦ721.140-80-1000	140-80	1000	1475		Сельхозтехника	см. чертеж	Проуш. S=88 с ШСЛ80	Гидроцилиндр стрелы УДМ
КГЦ722.80-50-320	80-50	320	620		Амкодор	2 отв. М18?1.5	Проуш. S=40 с ШС40	Гидроцилиндр полуприцепа лесовозного АМКОДОР 2310
КГЦ725.63-40-115	63-40	115,5	294,5		Спецтехника	2 штуц. М16?1.5	Втулки D=30 мм	
КГЦ728.80-40-560	80-40	560	925		Амкодор	2 отв. М27?2	Проуш. S=35 с ШС40	Стрелы А-211Е
КГЦ729.50-32-180	50-32	180	450		Амкодор	2 отв. К 3/8	Проуш. S=24 с ШС25	Захват Амкодор-211
КГЦ731А.63-36-36-115	63-36	115*2	564	Двухсторонний	Амкодор	3 отв. М16?1.5	2 отв. D=16	"Гидроцилиндр экскаватора-погрузчика ""Амкодор-211"""
КГЦ731.63-36-36-115	63-36	115*2	564	Двухсторонний	Амкодор	3 отв. М16?1.5	2 отв. D=16	Адаптер А-332, А-342, А-352, А-340, А-211, А-350
КГЦ731-01.63-36-36-60	63-36	60*2	454	Двухсторонний	Амкодор	3 отв. М16?1.5	2 отв. D=16	Адаптер А-320С2
КГЦ731-03.63-36-36-110	63-36	110*2	536	Двухсторонний	Амкодор	3 отв. М16?1.5	2 отв. D=16	Адаптер А-540-70, Т400
КГЦ732.80-40-200	80-40	200	480		Амкодор	"Отв. М16?1.5; 2 штуцера М18?1.5"	"Проуш. S=32 с ШС35; цапфы D=30"	"Гидроцилиндр для экскаватора-погрузчика ""Амкодор-211"""
КГЦ733.63-36-360	63-36	360	650		Амкодор	2 отв. М16?1.5	Проуш. S=32 с ШС35	Ковша А-211Е
КГЦ735.5-180-1615	180-160-140-120-100	1615	310	Телескопический	МАЗ-КаМАЗ	 1 отв. КГ3/4	Цапфы d=80, сфера d=65	Подъем платформы автомобилей семейства МАЗ-6430, -64221.
КГЦ735-01.5-180-1625	180-160-140-120-100	1625	310	Телескопический	МАЗ-КаМАЗ	 1 отв. КГ3/4	Цапфы d=80, сфера d=65	Подъем платформы автомобилей семейства МАЗ-551605.
КГЦ736.110-80-100	110-80	100	372		Спецтехника	2 штуц. G1/4?	Фланец 4 отв. D=20	гидроцилиндр с бойком
КГЦ737.100-50-350	100-50	350	675		Спецтехника	2 отв. М20?1.5	Проуш. S=36 с ШС40 с защитой	Гидроцилиндр подъема  транспортной тележки агрегата АДУ
КГЦ738.100-50-150	100-50	150	740		Спецтехника	2 отв. М20?1.5	3 отв. D=30 во втулках	Гидроцилиндр подъема передней части агрегата АДУ
КГЦ742.100-56-500	100-56	500	830		Спецтехника	2 отв. М20?1.5	Проуш. S=36 с ШС40 с защитой	Гидроцилиндр подъема боковых рам агрегата АДУ
КГЦ743.180-125-560	180-125	560	1354		Сельхозтехника	Колодки фланцевого зажима	Проуш. с ШС120 S=88	Гидроцилиндр ковша машины УДМ
КГЦ747.87-80-1576	87-80	1576	1920	Плунжерный	Спецтехника	Колодки фланцевого зажима	сфера d=60 мм. Проуш. S=45 с ШС40	Грузоподъемника А-451А
КГЦ748.80-40-250	80-40	250	615		Спецтехника	2 отв. М22?1.5	Проуш. S=35 с ШС40	"Гидроцилиндр для ОАО ""Раскат"" г. Рыбинск"
КГЦ750.80-40-250	80-40	250	615		Спецтехника	2 отв. М22?1.5	Проуш. S=35 с ШС40	"Гидроцилиндр для ОАО ""Раскат"" г. Рыбинск"
КГЦ750-01.80-40-400	80-40	400	845		Спецтехника	2 отв. М22?1.5	Проуш. S=35 с ШС40	"Гидроцилиндр рулевого управления для ОАО ""Раскат"" г. Рыбинск"
КГЦ752.90-45-420	90-45	420	640		Сельхозтехника	2 отв. М18?1.5	2 отв. D=35	Гидроцилиндр культиватора-глубокорыхлителя полунавесного КГП-6.2
КГЦ752.90-50-420	90-50	420	640		Сельхозтехника	2 отв. М18?1.5	2 отв. D=35	Гидроцилиндр культиватора-глубокорыхлителя полунавесного КГП-6.2
КГЦ752-01.90-50-420	90-50	420	640		Сельхозтехника	2 отв. М18?1.5	2 отв. D=35	Гидроцилиндр культиватора-глубокорыхлителя полунавесного КГП-6.2
КГЦ753.63-28-50	63-28	50	600		Сельхозтехника	2 отв. М18?1.5	Вилки с D=28 и  пазом S=20 мм 	"Гидроцилиндр культиватора КГП-6.2 СООО ""Элезер""."
КГЦ753.63-30-50	63-30	50	600		Сельхозтехника	2 отв. М18?1.5	Вилки с D=28 и  пазом S=20 мм 	"Гидроцилиндр культиватора КГП-6.2 СООО ""Элезер""."
КГЦ754.100-50-70	100-50	70	660		Сельхозтехника	2 отв. М18?1.5	2 отв. D=35	Гидроцилиндр культиватора КГП-6.2
КГЦ755.80-40-50	80-40	50	600		Сельхозтехника	2 отв. М18?1.5	Вилки с D=28 и  пазом S=20 мм 	"Гидроцилиндр культиватора КГП-6.2 СООО ""Элезер""."
КГЦ757.160-80-1000	160-80	1000	1475		Сельхозтехника	Колодки фланцевого зажима	Проуш. S=88 мм с ШСЛ80	"Гидроцилиндр УДМ; ПК-6"
КГЦ758.160-80-560	160-80	560	1354		Сельхозтехника	Колодки фланцевого зажима	Проуш. S=88 мм с ШСЛ80	"Гидроцилиндр УДМ; ПК-6"
КГЦ759А.160-80-400	160-80	400	894		Амкодор	2 штуц. М30?2	Проуш. S=100 мм с ШСЛ80	Ковша А-332В, А-332С
КГЦ759А-01.160-80-440	160-80	440	1310		Амкодор	2 штуц. М30?2	Проуш. S=100 мм с ШСЛ80	Ковша А-342Р
КГЦ759А-02.160-80-500	160-80	500	1030		Амкодор	2 штуц. М30?2	Проуш. S=100 мм с ШСЛ80	Ковша А-342В, А-342С
КГЦ759А-03.160-80-500	160-80	500	1250		Амкодор	2 штуц. М30?2	Проуш. S=100 мм с ШСЛ80	"Гидроцилиндр для ковша погрузч. ""Амкодор 232С4"""
КГЦ761.100-40-200	100-40	200	515		Сельхозтехника	2 отв. М20?1,5	Вилки с D=25 и  пазом S=28 мм 	Задней навески BELARUS-500/800/900/
КГЦ762А.125-60-710	125-60	710	1160		Амкодор	2 штуцера. М30?2	Проуш. S=60 с ШСЛ60. Вилка с отв D=60	Стрелы А-332В, А-332С
КГЦ764.110-56-575	110-56	575	980		Амкодор	2 отв. М27?2	Проуш. S=40 с ШС50	ОКН
КГЦ764-01.110-56-700	110-56	700	1075		Амкодор	2 отв. М27?2	Проуш. S=40 с ШС50	ОКН
КГЦ766.63-32-120	63-32	120	375		Амкодор	2 oтв. G1/2?	Проуш. S=30 с ШС35	Гидроцилиндр наклона автопогрузчика Амкодор 430
КГЦ766-02.63-32-150	63-32	150	405		Амкодор	2 oтв. G1/2?	Проуш. S=30 с ШС35	Гидроцилиндр наклона автопогрузчика Амкодор 430
КГЦ767.110-80-2040	110-80	2040	2710		Амкодор	2 отв. М27?2	Проуш. S=50 с ШС50	"Гидроцилиндр подъема кузова землевоза ""АМКОДОР-20232"""
КГЦ768.140-110-180	140-110	180	454	Плунжерный	Амкодор	штуцер М26?1.5	Проуш. S=83 с ШСЛ90	гидроцилиндр плунжера землевоза АМКОДОР 20232
КГЦ769.90-50-460	90-50	460	770		Сельхозтехника	2 отв. М18?1.5	Проуш. S=50 с ШС50	"Гидроцилиндр рулевого управления ""Кировец 708.4"""
КГЦ771.125-63-425	125-63	425	737		Сельхозтехника	2 штуц. М20?1.5	2 отв. D=40 во втулках	Гидроцилиндр захвата для фронтальной выемки силоса
КГЦ772.63-36-240	63-36	240	705	удлинитель	Спецтехника	2 штуц. М20?1.5	Проуш. S=30 с отв. D=40	Гидроцилиндр захвата для рулонов
КГЦ773.125-56-400	125-56	400	475		Спецтехника	2 штуцера М33?2	резьба на штоке М48?2, отв D=90	Гидроцилиндр для стенда
КГЦ774А.100-63-400	100-63	400	900		Спецтехника	2 отв. G3/8?	Проуш. S=60 мм с ШС70	EW-1400, EW-1400А
КГЦ776-02.55-45-1630	55-45	1630	1792	Плунжерный	Амкодор	1 отв. G1/2?	2 отв. М12х1.5	
КГЦ779-02.40-36-1630	40-36	1630	1792	Плунжерный	Амкодор	"1 отв. G1/2?; М12х1.5"	2 резьбы М12х1.5	Гидроцилиндр для электропогрузчиков вилочных АМКОДОР Е16 - плунжер (боковой)
КГЦ782.95-56-360	95-56	360	596		Спецтехника	2 штуцера М22?1.5	Проуш. S=72 с ШС40 втулки D=50	Ковш машины А208Е
КГЦ783.95-56-695	95-56	695	946		Спецтехника	2 штуцера М22?1.5	Проуш. S=80 с ШС50 втулки D=50	Стрела машины А208Е-1
КГЦ784.100-50-450	100-50	450	875		Автогрейдеры	2 отв. М22?1,5	Проуш. S=40 мм с ШС50	Поднятия переднего неповоротного вала грейдера 165
КГЦ785.100-50-1270	100-50	1270	1524		Автогрейдеры	"отв. М22?1,5; штуцер М22?1,5"	Цапфы D=45, резьба М42х2	Выноса тяговой рамы отвала грейдера 165
КГЦ786.80-50-200	80-50	200	620		Автогрейдеры	2 отв. М22?1.5	Проуш. S=35 с ШС40	Устан. угла рез. грейденого отвала 165
КГЦ786-02.80-50-200	80-50	200	683			2 отв. М22?1.5	Проуш. S=35 с ШС40	Для поворота колесной пары бункера перегружателя
КГЦ786А.80-50-200	80-50	200	620		Автогрейдеры	2 отв. G1/2?	Проуш. S=35 с ШС40	Устан. угла рез. грейденого отвала 165
КГЦ786А-01.80-50-200	80-50	200	620		Автогрейдеры	2 отв. G1/2?	Проуш. S=35 с ШС40	Устан. угла рез. грейденого отвала 165
КГЦ787.80-50-475	80-50	475	805		Автогрейдеры	2 отв. М22?1.5	"Проуш. S=35 с ШС40; цапфы D=40"	Поднятия рыхлителя грейдера 165
КГЦ788-01.50-28-250	50-28	320	485		Сельхозтехника	2 отв. М20?1.5	Проуш. S=25 с отв. ШС25	"Гидроцилиндр  сельхозтехники ОАО ""Бобруйскагромаш"""
КГЦ789.90-50-350	90-50	350	780		Автогрейдеры	2 отв. М22?1.5	Проуш. S=40 с ШС50	Излома рамы грейдера 165
КГЦ790.90-50-1620	90-50	1620	2020		Автогрейдеры	"1 отв. М22?1.5; 1 штуц М22?1,5 "	см. чертеж	Выноса отвала грейдера 165
КГЦ791.50-32-64	50-32	64	319		Автогрейдеры	2 отв. М22?1.5	фланец с 4-мя отв. D=13	Блокировки грейдера 165
КГЦ792.40-20-70	40-20	70	260		МТЗ	2 отв. М14?1.5	Проуш. S=20 с тов. D20 	См. чертёж
КГЦ792-01.40-20-100	40-20	100	290		МТЗ	2 отв. М14?1.5	Проуш. S=20 с тов. D20 	См. чертёж
КГЦ793.88-80-220	88-80	220	395	Плунжерный	МТЗ	"1 отв. КГ3/8"""	см. чертеж	"Гидроцилиндр подъема навески тракторов ""Беларус-1025,  -821, -826, -921, -82П, -92П"""
КГЦ793Б.88,5-80-220	88,5-80	220	395	Плунжерный	Сельхозтехника	1 отв. М16?1.5	см. чертеж	
КГЦ795-03.50-25-200	50-25	200	455	переработанный МТЗ	Сельхозтехника	2 отв. G3/8?	Проуш. S=28 с ШС25	Гидроцилиндр для Казахстана
КГЦ797.50-20-120	50-20	120	350	переработанный МТЗ	Сельхозтехника	2 отв. М14?1.5	Проуш. S=20 с отв. D=22	гидроцилиндр устройства навесного для тракторов МТЗ-310/320
КГЦ798.63-30-200	63-30	200	415	переработанный МТЗ	Сельхозтехника	2 отв. G3/8?	Проуш. S=28 с ШС30 с защитой	гидроцилиндр рулевого управления тракторов МТЗ-1005
КГЦ798-01.63-30-200	63-30	200	415	переработанный МТЗ	Сельхозтехника	2 отв. G3/8?	Проуш. S=28 с ШС30 с защитой	гидроцилиндр рулевого управления тракторов МТЗ-1025
КГЦ798-02.63-30-200	63-30	200	415	переработанный МТЗ	Сельхозтехника	2 отв. G3/8?	Проуш. S=28 с ШС30 с защитой	гидроцилиндр рулевого управления тракторов МТЗ-1021
КГЦ798-03.63-30-250	63-30	250	465	переработанный МТЗ	Сельхозтехника	2 отв. G3/8?	Проуш. S=28 с ШС30 с защитой	гидроцилиндр рулевого управления тракторов МТЗ-1022
КГЦ799.50-25-200	50-25	200	405	переработанный МТЗ	Сельхозтехника	2 отв. G3/8?	Проуш. S=28 с ШС25	Гидроцилиндр рулевого управления тракторов МТЗ-900/80/532/620/682/822/1221/920/82/1821/2022
КГЦ799-01.50-25-200	50-25	200	405	переработанный МТЗ	Сельхозтехника	2 отв. G3/8?	Проуш. S=28 с ШС25	Гидроцилиндр рулевого управления тракторов МТЗ-900/80/532/620/682/822/1221/920/82/1821/2022
КГЦ799-02.50-25-250	50-25	250	455	переработанный МТЗ	Сельхозтехника	2 отв. G3/8?	Проуш. S=28 с ШС25	Гидроцилиндр рулевого управления тракторов МТЗ-900/80/532/620/682/822/1221/920/82/1821/2022
КГЦ800.72-63-250	72-63	250	460	Плунжерный	МТЗ	"1 отв. КГ3/8"""	"Проуш. S=28 с отв. D=28; S=20 с отв. D=22"	"Гидроцилиндр подъема навески тракторов ""Беларус"""
КГЦ801.40-20-160	40-20	160	См. чертёж		МТЗ	2 отв. М14?1.5	Проуш. S=20 с ШС20 	"Гидроцилиндры рулевого управления тракторов ОАО ""МТЗ"""
КГЦ801-01.40-20-160	40-20	160	См. чертёж		МТЗ	2 отв. М14?1.5	Проуш. S=20 с ШС20 	"Гидроцилиндры рулевого управления тракторов ОАО ""МТЗ"""
КГЦ801-02.40-20-160	40-20	160	См. чертёж		МТЗ	2 отв. М14?1.5	Проуш. S=20 с ШС20 	"Гидроцилиндры рулевого управления тракторов ОАО ""МТЗ"""
КГЦ801-03.40-20-160	40-20	160	См. чертёж		МТЗ	2 отв. М14?1.5	Проуш. S=20 с ШС20 	"Гидроцилиндры рулевого управления тракторов ОАО ""МТЗ"""
КГЦ801-04.40-20-160	40-20	160	См. чертёж		МТЗ	2 отв. М14?1.5	Проуш. S=20 с ШС20 	"Гидроцилиндры рулевого управления тракторов ОАО ""МТЗ"""
КГЦ802.90-30-38	90-30	38	173		МТЗ	Колодки фланцевого зажима	Проуш. S=16 с D=18	"Гидроцилиндр гидроусилителя рулевого управления тракторов ""БЕЛАРУС"""
КГЦ808.63-32-120	63-32	120	375		Амкодор	2 отв. G3/8?	Проуш. S=30 с ШС35	Гидроцилиндр обрезчика кромки для АМКОДОР-6720
КГЦ809.80-50-300	80-50	300	1490		Амкодор	2 отв. G1/2?	Проуш. S=40 с ШС40	Гидроцилиндр привода ковша экскаватора-погрузчика BL71 (АМКОДОР)
КГЦ810.90-56-480	90-56	480	1180		Амкодор	2 отв. G1/2?	Проуш. S=40 с ШС40	Гидроцилиндр привода стрелы экскаватора-погрузчика BL71
КГЦ811.80-56-630	80-56	630	1010		Амкодор	"отв. G1/2?; угольник М22?1.5"	Проуш. S=45 с ШС40	Гидроцилиндр перемещения щита и коников для машин: АМКОДОР-2663, АМКОДОР-2671.
КГЦ811-01.80-56-400	80-56	400	765		Амкодор	2 штуц. М22?1.5	Проуш. S=45 с ШС40	Гидроцилиндр подъема щита для машин: FF 1461, FF 1681 (АМКОДОР)
КГЦ812.110-56-220	110-56	220	620		Амкодор	2 уг. М22?1.5	Проуш. S=50 с ШС50	гидроцилиндр блокировки качания полурам для машин: FF1461, FF1681, FM3081, FM3061
КГЦ816.125-60-630	125-60	630	1100		Спецтехника	2 отв. М20?1.5	Проуш. S=45 с отв. D=50	Гидроцилиндр погрузчика на базе К-700 и Т-150К
КГЦ817.150-70-1455	150-70	1455	1925		Спецтехника	см. чертёж	Проуш. S=50 и S=60 с ШС60	"Гидроцилиндр для бункеровоза для АО ""КОММАШ"" г. Арзамас"
КГЦ818.140-80-800	140-80	800	1270		Спецтехника	2 штуцера М27?1.5	Проуш. S=65 с ШС70	Гидроцилиндр стрелы погрузчика П-4/87 на базе К-700
КГЦ819.63-40-235	63-40	235	460		Спецтехника	2 отв. G3/8?	"Отв. D=28; отв. D=22"	"гидроцилиндр подъёма-опускания ЗНУ машины снегоуплотнительной MCУ-622-4600200 производства ОАО ""МТЗ"
КГЦ820.50-25-140	50-25	140	300		Амкодор	2 отв. G3/8?	Проуш. S=25 с ШС20	гидроцилиндр подъема-опускания лестницы для машин: АМКОДОР-2562, АМКОДОР-2571, АМКОДОР-2663, АМКОДОР-2671
КГЦ821.80-40-680	80-40	680	900		Коммунальная	2 отв. G3/8?	Проуш. S=35 с ШС40	"Гидроцилиндр для коммунальной техники для АО ""КОММАШ"" г. Арзамас"
КГЦ822.100-60-510	100-60	510	850		Коммунальная	4 отв. G3/8?	Проуш. S=30 с ШС35	"Гидроцилиндр для коммунальной техники для АО ""КОММАШ"" г. Арзамас"
КГЦ823.100-60-1000	100-60	1000	1500		Коммунальная	2 отв. G1/2?	Проуш. S=36 с ШС40	"Гидроцилиндр для коммунальной техники для АО ""КОММАШ"" г. Арзамас"
КГЦ823-01.100-60-1440	100-60	1440	1800		Коммунальная	2 отв. G1/2?	"Проуш. S=35; S=36 с ШС40"	"Гидроцилиндр для коммунальной техники для АО ""КОММАШ"" г. Арзамас"
КГЦ824.3-100-1150	100-80-56	1150	550	Телескопический	Сельхозтехника	1 Штуц М20?1.5	Цапфы d=40, сфера d=45	Подъем платф. транспортировщика ПСТ
КГЦ825.100-50-1270	100-50	1270	1524		Автогрейдеры	2 отв. М22?1,5	Цапфы D=45, резьба М42х2	Подъема рамы отвала грейдера 165
КГЦ826.100-63-450	100-63	450	871		Спецтехника	2 отв. М22?1,5	Проуш. S=35 мм с ШС40	Гидроцилиндр системы управления поворотом и отвалом
КГЦ826-01.100-63-250	100-63	250	615		Спецтехника	2 отв. М22?1,5	Проуш. S=35 мм с ШС40	Гидроцилиндр системы управления поворотом и отвалом
КГЦ826-02.100-63-450	100-63	450	871		Спецтехника	2 отв. М22?1,5	Проуш. S=40 мм с ШС50	Гидроцилиндр системы управления поворотом и отвалом
КГЦ828.80-56-63-200	80-56/67-63	200	910	Комбинированный	Гомсельмаш	3 отв. G1/2?	Проуш. S=20 с ШС30	Гидроцилиндр подъема жатки комбайнов
КГЦ831.100-50-180	100-50	180	540	двухсторонний	Сельхозтехника	2 отв. М18?1.5	цапфы D=35, отв. D=28	Гидроцилиндр культиватора-глубокорыхлителя полунавесного КГП-6,2
КГЦ832.150-80-870	150-80	870	1370		Амкодор	Колодки фланцевого зажима	Проуш. S=100 с ШСЛ80	Стрелы А-540-70, Т400
КГЦ833.140-80-380	140-80	380	660		Амкодор	Колодки фланцевого зажима	Втулки D=60 и D=50	Ковша А-540-70, Т400
КГЦ833А.140-80-380	140-80	380	660		Амкодор	Колодки фланцевого зажима	Втулки D=60 и D=55	Ковша А-540-70, Т400
КГЦ834.80-45-300	80-45	300	643		Амкодор	2 oтв. G1/2?	Проуш. S=40 с ШС40	Коррекции ковша А-540-70, Т400
КГЦ835.80-56-2750	80-56	2750	3500		Амкодор	Колодки фланцевого зажима	Проуш. S=50 и S=59 с отв. D=45	Телескопа А-540-70, Т400
КГЦ836.45-20-206.5	45-20	206,5	433		Сельхозтехника	2 отв. М14?1.5	"Проуш. S=19 с ШС20; М24х1.5"	Гидроцилиндр  трактора MF350 (Пакистан)
КГЦ837.60-32-100	60-32	100	335		Спецтехника	2 отв. М22?1.5	Проуш. S=25 с ШС25	"Гидроцилиндр управления поворотом катка ""RV-1.5DD"""
КГЦ838.80-40-85	80-40	85	465		Спецтехника	2 отв. М22?1.5	Проуш. S=35 с ШС40	Гидроцилиндр управления смещением полурам катка ДУ-96
